Suburb,Address,Price,Bedrooms,Bathrooms,Parkings
waterloo,209/806 Bourke Street WATERLOO NSW 2017,545,1,1,
waterloo,19/834 Bourke Street WATERLOO NSW 2017,,1,1,
waterloo,293/9 Crystal Street WATERLOO NSW 2017,550,1,1,
waterloo,52 Beaumont  Street WATERLOO NSW 2017,525,,1,
waterloo,27/1 Thread Lane WATERLOO NSW 2017,,1,1,
waterloo,266 Pitt Street WATERLOO NSW 2017,490,1,1,
waterloo,120/11A Lachlan Street WATERLOO NSW 2017,,1,1,
waterloo,332/4 Lachlan Street WATERLOO NSW 2017,650,1,1,
waterloo,101/762-768 Elizabeth Street WATERLOO NSW 2017,620,1,1,1
waterloo,526/7 Potter Street WATERLOO NSW 2017,570,1,1,
waterloo,205/11 Potter Street WATERLOO NSW 2017,,3,2,1
waterloo,C205/NO.1 Lachlan street WATERLOO NSW 2017,,2,2,1
waterloo,4.29/2 Allen Street WATERLOO NSW 2017,865,2,2,2
waterloo,313/8 Sam Sing  Street WATERLOO NSW 2017,825,2,2,1
waterloo,75/15 Potter Street WATERLOO NSW 2017,750,2,2,1
waterloo,F803/7 Hunter Street WATERLOO NSW 2017,585,1,1,1
waterloo,7/52-54 McEvoy Street WATERLOO NSW 2017,,1,1,1
waterloo,G1/762-768 Elizabeth Street WATERLOO NSW 2017,540,1,1,
waterloo,507/11A Lachlan Street WATERLOO NSW 2017,535,1,1,
waterloo,3/153 Phillip Street WATERLOO NSW 2017,250,1,2,
kingsford,293 Botany Street KINGSFORD NSW 2032,1495,3,2,1
kingsford,16A/2 KENNEDY LANE KINGSFORD NSW 2032,210,1,1,
kingsford,3/2-4 See Street KINGSFORD NSW 2032,1070,3,2,1
kingsford,11 Wurley Avenue KINGSFORD NSW 2032,980,3,1,
kingsford,9/76-78 Botany Street KINGSFORD NSW 2032,650,2,1,1
kingsford,2/41 Forsyth Street KINGSFORD NSW 2032,640,2,1,1
kingsford,2/351 Anzac Parade KINGSFORD NSW 2032,390,1,1,
kingsford,4/63 Middle Street KINGSFORD NSW 2032,670,2,1,1
kingsford,10 113 Houston Road KINGSFORD NSW 2032,600,2,1,1
kingsford,7/22 Middle Street KINGSFORD NSW 2032,375,,1,1
kingsford,1/22 Middle Street KINGSFORD NSW 2032,375,1,1,
kingsford,15 Haig Ave KINGSFORD NSW 2032,,1,1,
kingsford,Room A/16 See St KINGSFORD NSW 2032,320,1,1,
kingsford,65 Tunstall Ave KINGSFORD NSW 2032,1300,4,2,3
kingsford,82 Barker Street KINGSFORD NSW 2032,1100,4,2,
kingsford,12a Borrodale Road KINGSFORD NSW 2032,1000,3,3,2
kingsford,U/43-45 Meeks Street KINGSFORD NSW 2032,900,3,2,1
kingsford,3/81 Middle Street KINGSFORD NSW 2032,850,3,2,1
kingsford,122 Barker Street KINGSFORD NSW 2032,,2,1,1
kingsford,42 Harbourne Road KINGSFORD NSW 2032,790,2,2,1
kingsford,8B/333 Anzac Parade KINGSFORD NSW 2032,780,2,2,1
kingsford,8B/333 Anzac Parade KINGSFORD NSW 2032,775,2,2,1
kingsford,A210/32-36 Barker Street KINGSFORD NSW 2032,,2,2,1
kingsford,450-458 Anzac Parade KINGSFORD NSW 2032,750,2,2,
kingsford,64 Leonard Avenue KINGSFORD NSW 2032,720,2,1,
kingsford,5/45-49 Harbourne Road KINGSFORD NSW 2032,715,2,2,1
kingsford,1/353 Anzac Parade KINGSFORD NSW 2032,700,2,1,1
kingsford,A103/32-36 Barker Street KINGSFORD NSW 2032,,2,2,1
kingsford,B106/32-36 Barker Street KINGSFORD NSW 2032,,2,2,1
kingsford,U/54 Rainbow Street KINGSFORD NSW 2032,,3,2,1
kingsford,2 Apt/72 Houston Road KINGSFORD NSW 2032,700,2,2,1
kingsford,B207/32-36 Barker Street KINGSFORD NSW 2032,,2,2,1
kingsford,4/63 Middle St KINGSFORD NSW 2032,670,2,1,1
kingsford,9/41 Meeks KINGSFORD NSW 2032,660,2,2,1
kingsford,U/2 Forsyth Street KINGSFORD NSW 2032,650,2,1,
kingsford,B307/32-36 Barker Street KINGSFORD NSW 2032,,2,2,1
kingsford,6/49 Forsyth Street KINGSFORD NSW 2032,640,2,1,1
kingsford,438-448 Anzac Parade KINGSFORD NSW 2032,640,2,1,1
kingsford,3/41 Meeks Street KINGSFORD NSW 2032,640,2,1,
kingsford,6/62 Barker Street KINGSFORD NSW 2032,630,2,1,1
kingsford,U/104 Barker St KINGSFORD NSW 2032,610,2,1,1
kingsford,U/38A Meeks Street KINGSFORD NSW 2032,,2,1,1
kingsford,U/43-45 Meeks Street KINGSFORD NSW 2032,,2,1,1
kingsford,U/48 Rainbow Street KINGSFORD NSW 2032,,2,1,2
kingsford,3/3 Barker Street KINGSFORD NSW 2032,600,2,1,
kingsford,20 Norton Street KINGSFORD NSW 2032,,2,1,1
kingsford,U/51 Meeks Street KINGSFORD NSW 2032,,2,1,1
kingsford,U/40 Willis Street KINGSFORD NSW 2032,580,2,1,1
kingsford,B203/32-36 Barker Street KINGSFORD NSW 2032,580,1,1,1
kingsford,11/401-405 Anzac Parade KINGSFORD NSW 2032,580,2,1,
kingsford,3/40 Willis Street KINGSFORD NSW 2032,580,2,1,
kingsford,6/56 Middle Street KINGSFORD NSW 2032,570,2,1,1
kingsford,3/559 Anzac Parade KINGSFORD NSW 2032,560,2,1,1
kingsford,B306/32-36 Barker Street KINGSFORD NSW 2032,560,1,1,1
kingsford,243-253 Anzac Parade KINGSFORD NSW 2032,550,1,1,1
kingsford,A203/32-36 Barker Street KINGSFORD NSW 2032,,1,1,1
kingsford,53 Rainbow Street KINGSFORD NSW 2032,490,,1,
kingsford,B312/32-36 Barker Street KINGSFORD NSW 2032,,1,1,1
kingsford,32 Willis Street KINGSFORD NSW 2032,485,1,1,
kingsford,14 Gardeners Road KINGSFORD NSW 2032,480,,1,
kingsford,66 - 68 Barker Street KINGSFORD NSW 2032,460,1,1,
kingsford,6 See Street KINGSFORD NSW 2032,455,1,1,
kingsford,23-25 Strachan Street KINGSFORD NSW 2032,,1,1,
kingsford,277 Anzac Parade KINGSFORD NSW 2032,420,1,1,
kingsford,U/559 Anzac Parade KINGSFORD NSW 2032,,1,1,
kingsford,B205/32-36 Barker Street KINGSFORD NSW 2032,,,1,1
kingsford,B310/32-34 Barker Street KINGSFORD NSW 2032,,,1,1
kingsford,305 Anzac Parade KINGSFORD NSW 2032,395,1,1,
kingsford,2-4 Strachan Street KINGSFORD NSW 2032,375,1,1,
kingsford,6/22 Middle Street KINGSFORD NSW 2032,360,,1,
kingsford,44 Forsyth Street KINGSFORD NSW 2032,355,1,1,
kingsford,11a Burbong Street KINGSFORD NSW 2032,,1,1,
kingsford,39 Rainbow  Street KINGSFORD NSW 2032,240,1,1,
kingsford,397 Anzac Parade KINGSFORD NSW 2032,240,,1,
kingsford,Room 7 at 127 Barker St KINGSFORD NSW 2032,225,1,3,
kingsford,5a Bruce KINGSFORD NSW 2032,215,7,2,
kingsford,10/101-103 Houston Road KINGSFORD NSW 2032,55,,,1
kingsford,15/255-271  Anzac Parade KINGSFORD NSW 2032,50,,,1
kingsford,22/255 ANZAC PARADE KINGSFORD NSW 2032,,3,2,2
kingsford,457 Anzac Parade KINGSFORD NSW 2032,910,3,1,2
