Suburb,Address,Price,Bedrooms,Bathrooms,Parkings,Latitude,Longitude,Distance_to_CBD,Distance_to_station
waterloo,120/11A Lachlan Street WATERLOO NSW 2017,,1,1,,-33.9009933,151.211792,3131.8895866448615,172.27652533639903
waterloo,3/153 Phillip Street WATERLOO NSW 2017,250,1,2,,-33.89661,151.20845,2610.3061409383517,417.8724621579225
waterloo,205/11 Potter Street WATERLOO NSW 2017,,3,2,1,-33.8995438,151.213791,3011.670439919272,223.30235239840295
waterloo,5/237 Cope Street WATERLOO NSW 2017,1000,3,2,1,-33.8994255,151.201584,2943.659353061989,905.9007064873297
waterloo,C205/NO.1 Lachlan street WATERLOO NSW 2017,,2,2,1,-33.9004631,151.210678,3058.0104238179874,126.91398722001554
waterloo,4/2 Kensington Mews WATERLOO NSW 2017,625,2,1,1,-33.8998947,151.20752,2968.5431208669706,359.8056651318976
waterloo,7/52-54 McEvoy Street WATERLOO NSW 2017,,1,1,1,-33.9018936,151.202454,3205.3665523838363,867.7658246500213
waterloo,293/9 Crystal Street WATERLOO NSW 2017,540,1,1,,-33.8990936,151.212311,2933.3722349282,96.30452371085566
waterloo,507/11A Lachlan Street WATERLOO NSW 2017,535,1,1,,-33.9009933,151.211792,3131.8895866448615,172.27652533639903
strathfield,587 Liverpool Road STRATHFIELD NSW 2135,850,7,2,1,-33.8865852,151.072128,12484.979675623987,2634.0970360733445
strathfield,39/1-3 Beresford Road STRATHFIELD NSW 2135,600,2,2,2,-33.86915,151.089447,10803.807008834565,527.9030355347293
strathfield,403/23-25 Churchill Avenue STRATHFIELD NSW 2135,570,1,1,1,-33.8718758,151.0918,10577.73691095376,231.0844165682454
strathfield,79 Arthur Street STRATHFIELD NSW 2135,680,3,2,2,-33.87025,151.070679,12535.218321915825,2189.870510078431
strathfield,5/530 Liverpool Road STRATHFIELD NSW 2135,680,3,2,2,-33.88916,151.0775,12030.320322335096,2484.7995781345066
strathfield,108/549-557 Liverpool Road STRATHFIELD NSW 2135,545,2,2,1,-33.8881226,151.075821,12167.812795780654,2499.529265163786
strathfield,6/367 Liverpool  Road STRATHFIELD NSW 2135,490,2,1,1,-33.8886566,151.090134,10866.725267178563,1922.6889366934624
strathfield,2 NOBLE AVENUE STRATHFIELD NSW 2135,450,2,1,1,-33.8873253,151.08316,11483.190617893926,2018.4281954243168
strathfield,606/9-13 Parnell Street STRATHFIELD NSW 2135,520,1,1,1,-33.87283,151.094986,10282.011608635916,143.86682765661257
strathfield,1/4 Burlington Road STRATHFIELD NSW 2135,750,3,2,2,-33.8685455,151.08696,11036.666898990905,761.367432553757
strathfield,1 Allenby Cres STRATHFIELD NSW 2135,680,3,2,2,-33.8756943,151.078888,11774.53322860833,1492.8348307362116
strathfield,17 Manson Road STRATHFIELD NSW 2135,670,4,1,3,-33.86873,151.093674,10415.169694504108,331.19691866815134
strathfield,195/20-34 Albert Road STRATHFIELD NSW 2135,650,2,2,2,-33.8717,151.092667,10497.820105527266,149.79067714375282
strathfield,9 Everton Road STRATHFIELD NSW 2135,,3,1,1,-33.87179,151.096664,10127.892792774503,220.44658409287857
strathfield,72a Highgate Street STRATHFIELD NSW 2135,580,3,1,,-33.883728,151.085083,11258.699099827045,1585.283483784806
strathfield,24 BARKER ROAD STRATHFIELD NSW 2135,1200,4,2,2,-33.8775177,151.079971,11680.86326397704,1474.5991580140858
strathfield,75/1-3 Clarence Street STRATHFIELD NSW 2135,680,3,2,2,-33.8660545,151.0912,10661.805790945351,685.3869563550354
strathfield,1 Allenby Cresent STRATHFIELD NSW 2135,650,3,2,2,-33.8756943,151.078888,11774.53322860833,1492.8348307362116
