Suburb,Address,Price,Bedrooms,Bathrooms,Parkings,Latitude,Longitude,Distance_to_CBD,Distance_to_station
burwood,701/1-3 Elizabeth  Street BURWOOD NSW 2134,,2,2,1,-33.87858,151.105591,9319.867569368285,233.16770534525787
burwood,2 Mary St BURWOOD NSW 2134,,1,1,1,-33.8764038,151.1046,9399.14465068542,94.51104040420628
burwood,48/16-22 Burwood Road BURWOOD NSW 2134,,2,2,1,-33.87007,151.105377,9326.990312442633,783.251293622638
burwood,273/1 Railway Parade BURWOOD NSW 2134,600000,1,1,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,36 Victoria St E BURWOOD NSW 2134,580000,1,1,1,-33.87544,151.10556,9306.921974956034,233.38123126822603
burwood,36-38 Victoria Street BURWOOD NSW 2134,,1,1,1,-33.87544,151.10556,9306.921974956034,233.38123126822603
burwood,3 Railway Pde BURWOOD NSW 2134,,3,2,2,-33.877,151.101959,9645.97764862279,179.409676836557
waterloo,603/11A Lachlan Street WATERLOO NSW 2017,825000,2,2,1,-33.9009933,151.211792,3131.8895866448615,172.27652533639903
waterloo,344/9 Crystal Street WATERLOO NSW 2017,800000,2,2,1,-33.8990936,151.212311,2933.3722349282,96.30452371085566
waterloo,214/9 Archibald Avenue WATERLOO NSW 2017,640000,1,1,1,-33.9015656,151.2096,3167.47872279103,283.9223917412254
waterloo,201/788-822 Bourke Street (Entry at 806) WATERLOO NSW 2017,875000,2,2,1,-33.9004,151.206635,3022.129265544807,450.43176744898153
waterloo,BG13/810 Elizabeth Street WATERLOO NSW 2017,1450000,3,2,2,-33.90045,151.20639,3027.3998066567187,473.7598159297341
waterloo,317/9 Crystal Street WATERLOO NSW 2017,950000,2,2,1,-33.8990936,151.212311,2933.3722349282,96.30452371085566
waterloo,804/5 Potter Street WATERLOO NSW 2017,,2,2,1,-33.8997078,151.2124,3001.7994522615904,97.87570786805597
waterloo,D105/10 Lachlan Street WATERLOO NSW 2017,,2,2,1,-33.9007072,151.213989,3141.420385626761,277.2741627160278
waterloo,433/28 Danks Street WATERLOO NSW 2017,780000,2,1,1,-33.8978653,151.2146,2850.7707011599405,347.6381715264976
waterloo,113/18 Danks Street WATERLOO NSW 2017,750000,1,1,,-33.8973045,151.210892,2714.59382153076,245.3499242431674
waterloo,B219/810-822 Elizabeth Street WATERLOO NSW 2017,650000,1,1,,-33.9008942,151.206421,3076.6940182579706,484.61406444026125
waterloo,109/804 Bourke Street WATERLOO NSW 2017,,1,1,,-33.8985825,151.212036,2872.8367635428167,116.58659365460294
waterloo,16 Kensington Street WATERLOO NSW 2017,,3,2,2,-33.8999,151.20752,2969.130436684966,359.88146412364495
waterloo,17/1 Danks Street WATERLOO NSW 2017,,2,1,1,-33.89796,151.210037,2774.914094518078,209.21987671185065
waterloo,521/7 Potter Street WATERLOO NSW 2017,850000,2,2,1,-33.8997459,151.212845,3014.177619116932,138.87976949849087
waterloo,26/1 Thread Lane WATERLOO NSW 2017,,2,1,1,-33.9009781,151.2105,3112.4091817380754,185.05192803289842
waterloo,10506/5 Sam Sing Street WATERLOO NSW 2017,600000,1,1,,-33.902832,151.210831,3320.282869509832,375.34215712022535
waterloo,10604/5 Sam Sing Street WATERLOO NSW 2017,1100000,2,2,1,-33.902832,151.210831,3320.282869509832,375.34215712022535
waterloo,C606/1 Lachlan Street WATERLOO NSW 2017,775000,1,1,1,-33.9004631,151.210678,3058.0104238179874,126.91398722001554
waterloo,Lvl 5  522/347 George Street  WATERLOO NSW 2017,,2,2,1,-33.86836,151.206543,533.6056056308654,3480.5884052195565
waterloo,2/52-54 McEvoy Street WATERLOO NSW 2017,,2,2,1,-33.9018936,151.202454,3205.3665523838363,867.7658246500213
waterloo,331/268 Pitt Street WATERLOO NSW 2017,,1,1,1,-33.9019165,151.204391,3193.945872408793,700.5204604444359
waterloo,9/8 Sam Sing Street WATERLOO NSW 2017,,1,2,,-33.9027939,151.210541,3312.671489383132,375.7520684085894
waterloo,315/5 Potter Street WATERLOO NSW 2017,950000,2,2,1,-33.8997078,151.2124,3001.7994522615904,97.87570786805597
waterloo,WATERLOO NSW 2017,,11,8,2,-33.9004,151.206635,3022.129265544807,450.43176744898153
waterloo,WATERLOO NSW 2017,,3,2,1,-33.9004,151.206,3021.766389131,507.80904109772683
waterloo,Lot 85/13 - 17 Lachlan Street WATERLOO NSW 2017,1780000,3,2,1,-33.9009361,151.212631,3139.6061261219575,198.8795056757535
waterloo,Lot 91/13-17 Lachlan Street WATERLOO NSW 2017,1565000,3,2,2,-33.9009361,151.212631,3139.6061261219575,198.8795056757535
waterloo,6/8 Archibald Ave WATERLOO NSW 2017,,3,3,2,-33.9013748,151.2092,3142.850688127297,291.2053547076737
waterloo,169 Botany Road WATERLOO NSW 2017,1428000,3,2,1,-33.9004364,151.201035,3062.0704679182963,962.5307204896658
waterloo,C601/52-54 O'Dea Avenue WATERLOO NSW 2017,,3,2,2,-33.9027367,151.212952,3341.3269801399815,389.57035887478025
waterloo,52-54 O’dea AVE WATERLOO NSW 2017,,3,2,2,-33.9027367,151.212952,3341.3269801399815,389.57035887478025
waterloo,10103/5  sam sing street WATERLOO NSW 2017,1400000,3,2,2,-33.902832,151.210831,3320.282869509832,375.34215712022535
waterloo,BG04/34 McEvoy Street WATERLOO NSW 2017,1000000,3,2,1,-33.90114,151.204163,3109.0806546649114,692.2994598730717
waterloo,1-9 Lachlan St WATERLOO NSW 2017,,2,2,1,-33.90057,151.212845,3103.673367139625,181.81157524413678
waterloo,C801/1 Lachlan WATERLOO NSW 2017,1200000,2,2,1,-33.9004631,151.210678,3058.0104238179874,126.91398722001554
waterloo,Elizaberth street WATERLOO NSW 2017,1180000,2,2,1,-33.9004326,151.206131,3025.363776203766,496.7035297759287
waterloo,Lot 95/13 – 17 Lachlan Street WATERLOO NSW 2017,1170000,2,2,1,-33.9009361,151.212631,3139.6061261219575,198.8795056757535
waterloo,52-54 O’dea AVE WATERLOO NSW 2017,1160000,2,2,1,-33.9027367,151.212952,3341.3269801399815,389.57035887478025
waterloo,C3.05/52-54 O'dea Avenue WATERLOO NSW 2017,1150000,2,2,1,-33.9027367,151.212952,3341.3269801399815,389.57035887478025
waterloo,C2.09/1-9 Lachlan Street WATERLOO NSW 2017,,2,2,1,-33.9004631,151.210678,3058.0104238179874,126.91398722001554
waterloo,602/8 Sam Sing Street WATERLOO NSW 2017,1100000,2,2,1,-33.9020348,151.211014,3234.9722161855534,285.48299474368474
waterloo,C209/1-9 Lachlan St WATERLOO NSW 2017,1100000,2,2,1,-33.9004631,151.210678,3058.0104238179874,126.91398722001554
waterloo,O'Dea Ave WATERLOO NSW 2017,1050000,2,2,1,-33.9034729,151.2111,3394.0592450522167,443.7513820564222
waterloo,217/92 Cope Street WATERLOO NSW 2017,1050000,3,2,1,-33.8962135,151.199768,2623.9311859666564,1133.3105111891641
waterloo,34/7 Crystal Street WATERLOO NSW 2017,,3,2,1,-33.8987122,151.212219,2890.2198745026776,115.26073088660992
waterloo,52-54 O’dea AVE WATERLOO NSW 2017,,2,2,1,-33.9034233,151.210739,3384.2265350895773,441.4781129678583
waterloo,A307/1-9 Lachlan Street WATERLOO NSW 2017,1030000,2,2,1,-33.9004631,151.210678,3058.0104238179874,126.91398722001554
waterloo,332/9 Crystal Street WATERLOO NSW 2017,,3,2,2,-33.8990936,151.212311,2933.3722349282,96.30452371085566
waterloo,19 Kensington Street WATERLOO NSW 2017,,2,1,,-33.899826,151.206848,2958.8546144184465,420.7586772617543
waterloo,C5.01/1-9 Lachlan WATERLOO NSW 2017,1100000,2,2,1,-33.9004631,151.210678,3058.0104238179874,126.91398722001554
