Suburb,Address,Price,Bedrooms,Bathrooms,Parkings
waterloo,120/804 Bourke Street WATERLOO NSW 2017,890000,2,2,1
waterloo,522/40-46 McEvoy Street WATERLOO NSW 2017,,2,2,1
waterloo,924/2-4 Lachlan Street WATERLOO NSW 2017,,2,2,1
waterloo,522/7 Potter Street WATERLOO NSW 2017,880000,2,2,1
waterloo,503/6 Lachlan Street WATERLOO NSW 2017,850000,2,2,1
waterloo,351 George Street WATERLOO NSW 2017,,2,2,
waterloo,Lot 40/13 - 17 Lachlan Street WATERLOO NSW 2017,820000,1,1,1
waterloo,277/9 Crystal Street WATERLOO NSW 2017,835000,2,2,1
waterloo,52-54 O’dea AVE WATERLOO NSW 2017,,1,1,1
waterloo,WATERLOO NSW 2017,785000,1,1,
waterloo,Lot 124 /13 – 17 Lachlan Street WATERLOO NSW 2017,785000,1,1,
waterloo,C606/1 Lachlan Street WATERLOO NSW 2017,775000,1,1,1
waterloo,820/7 Potter Street WATERLOO NSW 2017,768000,1,1,1
waterloo,A605/1-9 Lachlan Street WATERLOO NSW 2017,760000,1,1,
waterloo,A205/1 Lachilan street WATERLOO NSW 2017,750000,1,1,
waterloo,52 O'Dea ave WATERLOO NSW 2017,,1,1,1
waterloo,52 O'Dea ave WATERLOO NSW 2017,,3,2,1
waterloo,O'Dea Ave WATERLOO NSW 2017,740000,1,1,
waterloo,Lot 21/13-17 Lachlan Street WATERLOO NSW 2017,685000,1,1,
waterloo,B401/9 Hunter  Street WATERLOO NSW 2017,699000,1,2,1
waterloo,349/8 Lachlan Street WATERLOO NSW 2017,,1,1,
waterloo,16/291 George  Street WATERLOO NSW 2017,,1,1,
waterloo,249/11 Potter Street WATERLOO NSW 2017,,1,1,
waterloo,B103/9 Hunter Street WATERLOO NSW 2017,639000,1,1,
waterloo,358/8 Lachlan Street WATERLOO NSW 2017,575000,1,1,
waterloo,6/52-54 Mcevoy Street WATERLOO NSW 2017,,4,2,2
waterloo,110/46 Mcevoy St WATERLOO NSW 2017,1080000,2,2,1
waterloo,2xx/1 Lachlan Street WATERLOO NSW 2017,,2,2,1
waterloo,A307/1-9 Lachlan Street WATERLOO NSW 2017,,2,2,1
waterloo,A508/52-54 O'dea Avenue WATERLOO NSW 2017,,2,2,1
waterloo,B508/52-54 O'dea Avenue WATERLOO NSW 2017,,2,2,1
waterloo,4.14/133-141 Botany  Road WATERLOO NSW 2017,,2,2,1
waterloo,10/2 Kensington St WATERLOO NSW 2017,825000,2,1,1
waterloo,519/347 George Street WATERLOO NSW 2017,780000,1,1,1
waterloo,52-54  O’Dea Avenue WATERLOO NSW 2017,700000,1,1,
waterloo,WATERLOO NSW 2017,,1,1,
waterloo,WATERLOO NSW 2017,,1,1,
kingsford,29 Jellicoe Avenue KINGSFORD NSW 2032,2000000,5,3,2
kingsford,9 Anderson St KINGSFORD NSW 2032,,4,1,
kingsford,8/26 Irvine Street KINGSFORD NSW 2032,,3,1,1
kingsford,44 Botany Street KINGSFORD NSW 2032,,4,1,2
kingsford,17 Lancaster Crescent KINGSFORD NSW 2032,2300000,4,2,1
kingsford,144 Eastern Avenue KINGSFORD NSW 2032,1000000,4,2,2
kingsford,8/54 Rainbow Street KINGSFORD NSW 2032,,3,2,1
kingsford,112/438-448 Anzac Parade KINGSFORD NSW 2032,760000,2,1,1
kingsford,26 Hincks Street KINGSFORD NSW 2032,3200000,5,5,1
kingsford,170 Cottenham Avenue KINGSFORD NSW 2032,,3,3,4
kingsford,255 Doncaster Ave KINGSFORD NSW 2032,,3,2,1
kingsford,4/17 - 19 Forsyth Street KINGSFORD NSW 2032,,3,2,1
kingsford,49 Irvine Street KINGSFORD NSW 2032,,3,1,2
kingsford,123 Eastern Avenue KINGSFORD NSW 2032,,4,2,1
kingsford,37/44-50 Gardeners Road KINGSFORD NSW 2032,,3,2,1
kingsford,86/255 Anzac Parade KINGSFORD NSW 2032,,2,2,2
kingsford,60 Willis St KINGSFORD NSW 2032,,2,1,1
kingsford,1/162-164 Gardeners Road KINGSFORD NSW 2032,,2,1,1
strathfield,66 Hunter Street STRATHFIELD NSW 2135,,5,3,4
strathfield,6 Melville Avenue STRATHFIELD NSW 2135,,5,3,2
strathfield,61 SHORTLAND AVENUE STRATHFIELD NSW 2135,,5,4,4
strathfield,129 Albert Road STRATHFIELD NSW 2135,,4,3,4
strathfield,8 Parsons Avenue STRATHFIELD NSW 2135,,3,1,
strathfield,901/23-25 Churchill Avenue STRATHFIELD NSW 2135,,3,2,2
strathfield,203/57 Manson Road STRATHFIELD NSW 2135,,2,2,1
strathfield,14/9-13 Beresford Road STRATHFIELD NSW 2135,765000,2,2,1
strathfield,99/1-3 Beresford Road STRATHFIELD NSW 2135,,2,2,2
strathfield,103/9 Hilts Road STRATHFIELD NSW 2135,,2,2,1
strathfield,16/4 Morwick Street STRATHFIELD NSW 2135,,2,1,1
strathfield,39 NEWTON ROAD STRATHFIELD NSW 2135,,5,5,4
strathfield,114 Barker Road STRATHFIELD NSW 2135,,5,4,8
strathfield,43 Arthur Street STRATHFIELD NSW 2135,,5,5,2
strathfield,29 Redmyre Road STRATHFIELD NSW 2135,,6,3,3
strathfield,27 Myrna Road STRATHFIELD NSW 2135,,6,4,2
strathfield,38 HYDEBRAE STREET STRATHFIELD NSW 2135,,5,3,6
strathfield,113 Wallis Avenue STRATHFIELD NSW 2135,,4,3,3
strathfield,66 Arthur Street STRATHFIELD NSW 2135,2000000,3,1,1
strathfield,194 Homebush Road STRATHFIELD NSW 2135,,5,3,2
strathfield,43 Pemberton Street STRATHFIELD NSW 2135,,3,1,2
strathfield,35 Merley Road STRATHFIELD NSW 2135,,3,2,1
strathfield,9.05/9-13  Parnell Street STRATHFIELD NSW 2135,,2,2,1
strathfield,701/9-13 Parnell Street STRATHFIELD NSW 2135,979000,2,2,1
strathfield,703/9-13 Parnell Street STRATHFIELD NSW 2135,925000,2,2,1
strathfield,9.06/9-13 Parnell Street STRATHFIELD NSW 2135,,1,1,1
strathfield,4/6-8 RUSSELL ST STRATHFIELD NSW 2135,780000,2,2,1
strathfield,5/2-4 Duke Street STRATHFIELD NSW 2135,,2,1,1
strathfield,17F/30-34 CHURCHILL AVENUE STRATHFIELD NSW 2135,700000,2,1,1
strathfield,17/1-4 The Crescent STRATHFIELD NSW 2135,,3,2,2
strathfield,22/17 Everton Road STRATHFIELD NSW 2135,,2,1,1
strathfield,50/1 Clarence Street STRATHFIELD NSW 2135,650000,2,2,1
strathfield,37/1 Clarence Street STRATHFIELD NSW 2135,,1,1,2
strathfield,5 Firth Avenue STRATHFIELD NSW 2135,,5,3,6
